folder	file_name	genus	species	data_source	country	specimen_id
2018 November	DSC_0191-KANT4.JPG	Moenkhausia	sp. 1	field	Peru	CV2-355
2018 November	DSC_0192-KANT4.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-356
2018 November	DSC_0193-KANT4.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-357
2018 November	DSC_0194-KANT4.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-358
2018 November	DSC_0195-KANT4.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-359
2018 November	DSC_0196-KANT4.JPG	Corydoras	aeneus	field	Peru	CV2-360
2018 November	DSC_0201-KANT4.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-365
2018 November	DSC_0198-KANT4.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-362
2018 November	DSC_0203-KANT4.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-367
2018 November	DSC_0204-KANT4.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-368
2018 November	DSC_0205-KANT4.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-369
2018 November	DSC_0206-KANT4.JPG	Chrysobrycon	hesperus	field	Peru	CV2-370
2018 November	DSC_0207-KANT4.JPG	Chrysobrycon	hesperus	field	Peru	CV2-371
2018 November	DSC_0208-KATP1.JPG	Bujurquina	huallagae	field	Peru	CV2-424
2018 November	DSC_0209-KANT4.JPG	Moenkhausia	comma	field	Peru	CV2-373
2018 November	DSC_0210-KANT4.JPG	Hemigrammus	sp. 2	field	Peru	CV2-374
2018 November	DSC_0211-KANT4.JPG	Hemigrammus	sp. 2	field	Peru	CV2-375
2018 November	DSC_0211-KATP1.JPG	Corydoras	pastazensis	field	Peru	CV2-427
2018 November	DSC_0210-KATP1.JPG	Corydoras	pastazensis	field	Peru	CV2-426
2018 November	DSC_0212-KANT4.JPG	Hemigrammus	sp. 2	field	Peru	CV2-376
2018 November	DSC_0214-CHT5.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-033
2018 November	DSC_0214-KATP1.JPG	Astyanax	cf. lacustris	field	Peru	CV2-430
2018 November	DSC_0214-KANT4.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV2-378
2018 November	DSC_0215-KANT4.JPG	Hyphessobrycon	agulha	field	Peru	CV2-379
2018 November	DSC_0215-KATP1.JPG	Steindachnerina	sp. 1	field	Peru	CV2-431
2018 November	DSC_0216-KANT4.JPG	Hyphessobrycon	agulha	field	Peru	CV2-380
2018 November	DSC_0216-CHT5.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-034
2018 November	DSC_0216-KATP1.JPG	Creagrutus	beni	field	Peru	CV2-432
2018 November	DSC_0217-KANT4.JPG	Chrysobrycon	hesperus	field	Peru	CV2-381
2018 November	DSC_0218-CHT5.JPG	Hemigrammus	sp. 2	field	Peru	CV1-035
2018 November	DSC_0217-KATP1.JPG	Bryconops	caudomaculatus	field	Peru	CV2-433
2018 November	DSC_0218-KANT4.JPG	Knodus	caquetae	field	Peru	CV2-382
2018 November	DSC_0219-CHT5.JPG	Moenkhausia	sp. 1	field	Peru	CV1-036
2018 November	DSC_0219-KANT4.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV2-383
2018 November	DSC_0219-KATP1.JPG	Bujurquina	huallagae	field	Peru	CV2-435
2018 November	DSC_0220-KANT4.JPG	Moenkhausia	sp. 1	field	Peru	CV2-384
2018 November	DSC_0220-KATP1.JPG	Corydoras	atropersonatus	field	Peru	CV2-436
2018 November	DSC_0221-KANT4.JPG	Hyphessobrycon	loretoensis	field	Peru	CV2-385
2018 November	DSC_0221-KATP1.JPG	Loricariichthys	sp. 1	field	Peru	CV2-437
2018 November	DSC_0222-KANT4.JPG	Hemigrammus	sp. 1	field	Peru	CV2-386
2018 November	DSC_0222-KATP1.JPG	Limatulichthys	griseus	field	Peru	CV2-438
2018 November	DSC_0224-KATP1.JPG	Moenkhausia	dichroura	field	Peru	CV2-440
2018 November	DSC_0225-KANT5.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-388
2018 November	DSC_0223-KATP1.JPG	Loricaria	sp. 1	field	Peru	CV2-439
2018 November	DSC_0226-KATP1.JPG	Characidium	cf. pellucidum	field	Peru	CV2-442
2018 November	DSC_0227-KANT5.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-390
2018 November	DSC_0227-KATP1.JPG	Characidium	cf. etheostoma	field	Peru	CV2-443
2018 November	DSC_0228-KANT5.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-391
2018 November	DSC_0228-KATP1.JPG	Characidium	cf.pellucidum	field	Peru	CV2-444
2018 November	DSC_0229-KATP2.JPG	Bryconops	caudomaculatus	field	Peru	CV2-446
2018 November	DSC_0230-KANT5.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV2-393
2018 November	DSC_0230-KATP2.JPG	Knodus	caquetae	field	Peru	CV2-447
2018 November	DSC_0231-KATP2.JPG	Limatulichthys	griseus	field	Peru	CV2-448
2018 November	DSC_0231-KANT5.JPG	Pyrrhulina	cf. brevis	field	Peru	CV2-394
2018 November	DSC_0232-CHT3.JPG	Corydoras	aeneus	field	Peru	CV1-024
2018 November	DSC_0233-KANT5.JPG	Chrysobrycon	hesperus	field	Peru	CV2-396
2018 November	DSC_0233-MAP2.JPG	Pimelodus	blochii	field	Peru	CV1-250
2018 November	DSC_0234-CHT3.JPG	Corydoras	elegans	field	Peru	CV1-026
2018 November	DSC_0234-MAP2.JPG	Hoplias 	malabaricus	field	Peru	CV1-251
2018 November	DSC_0234-KANT5.JPG	Chrysobrycon	hesperus	field	Peru	CV2-397
2018 November	DSC_0235-CHT3.JPG	Corydoras	elegans	field	Peru	CV1-027
2018 November	DSC_0235-MAP2.JPG	Loricaria	sp. 1	field	Peru	CV1-252
2018 November	DSC_0236-CHT3.JPG	Hemigrammus	sp. 2	field	Peru	CV1-028
2018 November	DSC_0236-KANT5.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-399
2018 November	DSC_0236-KATP2.JPG	Imparfinis	cf. stictonotus	field	Peru	CV2-453
2018 November	DSC_0236-MAP2.JPG	Leporinus	friderici	field	Peru	CV1-253
2018 November	DSC_0237-KANT5.JPG	Apistogramma	bitaeniata	field	Peru	CV2-400
2018 November	DSC_0237-KATP2.JPG	Ochmacanthus 	reinhardtii 	field	Peru	CV2-454
2018 November	DSC_0237-CHT4.JPG	Moenkhausia	sp. 1	field	Peru	CV1-029
2018 November	DSC_0238-KANT5.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-401
2018 November	DSC_0238-KATP2.JPG	Characidium	sp. 1	field	Peru	CV2-455
2018 November	DSC_0238-MAP2.JPG	Leporinus	friderici	field	Peru	CV1-255
2018 November	DSC_0239-KANT5.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-402
2018 November	DSC_0239-MAP2.JPG	Leporinus	friderici	field	Peru	CV1-256
2018 November	DSC_0239-KATP2.JPG	Moenkhausia	collettii	field	Peru	CV2-456
2018 November	DSC_0240-KATP2.JPG	Moenkhausia	dichroura	field	Peru	CV2-457
2018 November	DSC_0241-CHT4.JPG	Hemigrammus	sp. 2	field	Peru	CV1-031
2018 November	DSC_0241-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-129
2018 November	DSC_0242-KATP2.JPG	Characidium	cf. etheostoma	field	Peru	CV2-459
2018 November	DSC_0241-MAP2.JPG	Brachycalcinus	nummus	field	Peru	CV1-258
2018 November	DSC_0242-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-130
2018 November	DSC_0242-MAP2.JPG	Brachycalcinus	nummus	field	Peru	CV1-259
2018 November	DSC_0243-KANT5.JPG	Moenkhausia	comma	field	Peru	CV2-406
2018 November	DSC_0243-MAP2.JPG	Brachycalcinus	nummus	field	Peru	CV1-260
2018 November	DSC_0243-MAP1.JPG	Moenkhausia	intermedia	field	Peru	CV1-131
2018 November	DSC_0244-KANT5.JPG	Hyphessobrycon	agulha	field	Peru	CV2-407
2018 November	DSC_0244-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-132
2018 November	DSC_0244-MAP2.JPG	Tetragonopterus	argenteus	field	Peru	CV1-261
2018 November	DSC_0245-MAP2.JPG	Moenkhausia	oligolepis	field	Peru	CV1-262
2018 November	DSC_0246-KANT5.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV2-409
2018 November	DSC_0247-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-135
2018 November	DSC_0246-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-134
2018 November	DSC_0248-KANT6.JPG	Corydoras	aeneus	field	Peru	CV2-411
2018 November	DSC_0248-MAP2.JPG	Phenacogaster	cf. capitulatus	field	Peru	CV1-265
2018 November	DSC_0249-CV2-TRAMPA.JPG	Pinirampus	pinirampu	field	Peru	CV2-500
2018 November	DSC_0249-KANT6.JPG	Corydoras	aeneus	field	Peru	CV2-412
2018 November	DSC_0250-KANT6.JPG	Apistogramma	bitaeniata	field	Peru	CV2-413
2018 November	DSC_0251-MAP2.JPG	Serrasalmus	rhombeus	field	Peru	CV1-266
2018 November	DSC_0250-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-138
2018 November	DSC_0253-KANT6.JPG	Chrysobrycon	hesperus	field	Peru	CV2-416
2018 November	DSC_0252-MAP2.JPG	Corydoras	atropersonatus	field	Peru	CV1-267
2018 November	DSC_0252-KANT6.JPG	Bujurquina	moriorum	field	Peru	CV2-415
2018 November	DSC_0253-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-141
2018 November	DSC_0253-MAP2.JPG	Corydoras	atropersonatus	field	Peru	CV1-268
2018 November	DSC_0254-KANT6.JPG	Chrysobrycon	hesperus	field	Peru	CV2-417
2018 November	DSC_0254-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-142
2018 November	DSC_0254-MAP2.JPG	Corydoras	atropersonatus	field	Peru	CV1-269
2018 November	DSC_0255-KANT6.JPG	Chrysobrycon	hesperus	field	Peru	CV2-418
2018 November	DSC_0255-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-143
2018 November	DSC_0255-MAP2.JPG	Corydoras	trilineatus	field	Peru	CV1-270
2018 November	DSC_0256-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-144
2018 November	DSC_0257-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-145
2018 November	DSC_0257-KANT6.JPG	Hemigrammus	sp. 2	field	Peru	CV2-420
2018 November	DSC_0257-MAP2.JPG	Ancistrus	sp. 1	field	Peru	CV1-271
2018 November	DSC_0257-MAP2.JPG	Ancistrus	sp. 1	field	Peru	CV1-271
2018 November	DSC_0258-CV1-TRAMPA.JPG	Hoplias 	malabaricus	field	Peru	CV1-286
2018 November	DSC_0258-MAP1.JPG	Steindachnerina	sp. 1	field	Peru	CV1-146
2018 November	DSC_0258-MAP2.JPG	Corydoras	atropersonatus	field	Peru	CV1-272
2018 November	DSC_0259-MAP2.JPG	Corydoras	atropersonatus	field	Peru	CV1-273
2018 November	DSC_0259-KANT6.JPG	Moenkhausia	sp. 1	field	Peru	CV2-422
2018 November	DSC_0260-KANT6.JPG	Hemigrammus	sp. 1	field	Peru	CV2-423
2018 November	DSC_0260-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-148
2018 November	DSC_0261-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-149
2018 November	DSC_0263-CV1-TRAMPA.JPG	Ageneiosus	sp. 1	field	Peru	CV1-290
2018 November	DSC_0263-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-151
2018 November	DSC_0264-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-152
2018 November	DSC_0265-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-153
2018 November	DSC_0267-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-154
2018 November	DSC_0267-MAP2.JPG	Characidium	cf. etheostoma	field	Peru	CV1-276
2018 November	DSC_0268-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-155
2018 November	DSC_0270-CV1-TRAMPA.JPG	Serrasalmus	rhombeus	field	Peru	CV1-291
2018 November	DSC_0268-MAP2.JPG	Phenacogaster	napoatilis	field	Peru	CV1-277
2018 November	DSC_0269-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-156
2018 November	DSC_0270-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-157
2018 November	DSC_0271-MAP1.JPG	Pimelodella	cf. hasemani	field	Peru	CV1-158
2018 November	DSC_0271-MAP2.JPG	Hypoptopoma	sp. 1	field	Peru	CV1-279
2018 November	DSC_0271-MAP2.JPG	Hypoptopoma	sp. 1	field	Peru	CV1-279
2018 November	DSC_0272-CHT6.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-041
2018 November	DSC_0273-MAP2.JPG	Otocinclus	vittatus	field	Peru	CV1-280
2018 November	DSC_0273-MAP2.JPG	Otocinclus	vittatus	field	Peru	CV1-280
2018 November	DSC_0272-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-159
2018 November	DSC_0274-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-161
2018 November	DSC_0274-CHT6.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV1-043
2018 November	DSC_0275-CHT6.JPG	Moenkhausia	sp. 1	field	Peru	CV1-044
2018 November	DSC_0275-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-162
2018 November	DSC_0275-MAP2.JPG	Bryconops	caudomaculatus	field	Peru	CV1-282
2018 November	DSC_0276-CHT6.JPG	Moenkhausia	sp. 1	field	Peru	CV1-045
2018 November	DSC_0277-CHT6.JPG	Moenkhausia	sp. 1	field	Peru	CV1-046
2018 November	DSC_0277-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-164
2018 November	DSC_0277-MAP2.JPG	Hypostomus	sp. 2	field	Peru	CV1-283
2018 November	DSC_0277-MAP2.JPG	Hypostomus	sp. 2	field	Peru	CV1-283
2018 November	DSC_0278-CHT6.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-047
2018 November	DSC_0278-CV2-TRAMPA.JPG	Mylossoma	albiscopum	field	Peru	CV2-501
2018 November	DSC_0278-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-165
2018 November	DSC_0279-CHT6.JPG	Brachyhypopomus	beebei	field	Peru	CV1-048
2018 November	DSC_0279-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-166
2018 November	DSC_0281-MAP1.JPG	Otocinclus	vittatus	field	Peru	CV1-167
2018 November	DSC_0281-MAP1.JPG	Otocinclus	vittatus	field	Peru	CV1-167
2018 November	DSC_0285-CV1-TRAMPA.JPG	Boulengerella 	cuvieri	field	Peru	CV1-292
2018 November	DSC_0285-MAP1.JPG	Otocinclus	vittatus	field	Peru	CV1-170
2018 November	DSC_0285-MAP1.JPG	Otocinclus	vittatus	field	Peru	CV1-170
2018 November	DSC_0288-CV1-TRAMPA.JPG	Lasiancistrus	schomburgkii	field	Peru	CV1-293
2018 November	DSC_0288-CV1-TRAMPA.JPG	Lasiancistrus	schomburgkii	field	Peru	CV1-293
2018 November	DSC_0290-CV1-TRAMPA.JPG	Lasiancistrus	schomburgkii	field	Peru	CV1-294
2018 November	DSC_0290-CV1-TRAMPA.JPG	Lasiancistrus	schomburgkii	field	Peru	CV1-294
2018 November	DSC_0290-KATP3.JPG	Steindachnerina	sp. 1	field	Peru	CV2-460
2018 November	DSC_0290-MAP1.JPG	Corydoras	atropersonatus	field	Peru	CV1-173
2018 November	DSC_0291-KATP3.JPG	Steindachnerina	sp. 1	field	Peru	CV2-461
2018 November	DSC_0291-MAP1.JPG	Limatulichthys	griseus	field	Peru	CV1-174
2018 November	DSC_0292-CV1-TRAMPA.JPG	Hypostomus	sp. 2	field	Peru	CV1-297
2018 November	DSC_0292-CV1-TRAMPA.JPG	Hypostomus	sp. 2	field	Peru	CV1-297
2018 November	DSC_0292-KATP3.JPG	Steindachnerina	sp. 1	field	Peru	CV2-462
2018 November	DSC_0293-MAP1.JPG	Bryconops	caudomaculatus	field	Peru	CV1-176
2018 November	DSC_0292-MAP1.JPG	Loricariichthys	sp. 1	field	Peru	CV1-175
2018 November	DSC_0294-CV1-TRAMPA.JPG	Aphanotorulus	cf. emarginatus	field	Peru	CV1-295
2018 November	DSC_0294-CV1-TRAMPA.JPG	Aphanotorulus	cf. emarginatus	field	Peru	CV1-295
2018 November	DSC_0294-KATP3.JPG	Moenkhausia	oligolepis	field	Peru	CV2-464
2018 November	DSC_0295-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-178
2018 November	DSC_0296-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-465
2018 November	DSC_0296-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-465
2018 November	DSC_0296-MAP1.JPG	Moenkhausia	collettii	field	Peru	CV1-179
2018 November	DSC_0297-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-180
2018 November	DSC_0298-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-466
2018 November	DSC_0298-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-466
2018 November	DSC_0298-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-181
2018 November	DSC_0299-KATP3.JPG	Bujurquina	huallagae	field	Peru	CV2-467
2018 November	DSC_0300-KATP3.JPG	Limatulichthys	griseus	field	Peru	CV2-468
2018 November	DSC_0301-KATP3.JPG	Limatulichthys	griseus	field	Peru	CV2-469
2018 November	DSC_0300-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-183
2018 November	DSC_0301-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-184
2018 November	DSC_0302-KATP3.JPG	Limatulichthys	griseus	field	Peru	CV2-470
2018 November	DSC_0302-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-185
2018 November	DSC_0303-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-186
2018 November	DSC_0304-KATP3.JPG	Limatulichthys	griseus	field	Peru	CV2-472
2018 November	DSC_0304-MAP1.JPG	Moenkhausia	collettii	field	Peru	CV1-187
2018 November	DSC_0305-KATP3.JPG	Loricariichthys	sp. 1	field	Peru	CV2-473
2018 November	DSC_0305-MAP1.JPG	Moenkhausia	collettii	field	Peru	CV1-188
2018 November	DSC_0306-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-189
2018 November	DSC_0307-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-474
2018 November	DSC_0307-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-474
2018 November	DSC_0307-MAP1.JPG	Phenacogaster	napoatilis	field	Peru	CV1-190
2018 November	DSC_0309-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-475
2018 November	DSC_0309-KATP3.JPG	Sturisoma	nigrirostrum	field	Peru	CV2-475
2018 November	DSC_0309-MAP1.JPG	Creagrutus	beni	field	Peru	CV1-192
2018 November	DSC_0310-KATP3.JPG	Limatulichthys	griseus	field	Peru	CV2-476
2018 November	DSC_0311-KATP3.JPG	Bujurquina	huallagae	field	Peru	CV2-477
2018 November	DSC_0312-KATP3.JPG	Crenicichla	reticulata	field	Peru	CV2-478
2018 November	DSC_0312-MAP1.JPG	Apionichthys	sp. 1	field	Peru	CV1-193
2018 November	DSC_0313-HET2.JPG	Electrophorus	electricus	field	Peru	CV1-059
2018 November	DSC_0313-HET2.JPG	Electrophorus	electricus	field	Peru	CV1-059
2018 November	DSC_0314-KATP3.JPG	Ochmacanthus 	reinhardtii 	field	Peru	CV2-480
2018 November	DSC_0314-MAP1.JPG	Knodus	caquetae	field	Peru	CV1-195
2018 November	DSC_0316-KATP3.JPG	Ochmacanthus 	reinhardtii 	field	Peru	CV2-482
2018 November	DSC_0317-KATP3.JPG	Bujurquina	huallagae	field	Peru	CV2-483
2018 November	DSC_0319-KATP3.JPG	Loricariichthys	sp. 1	field	Peru	CV2-485
2018 November	DSC_0319-MAP1.JPG	Imparfinis	cf. stictonotus	field	Peru	CV1-198
2018 November	DSC_0320-MAP1.JPG	Characidium	sp. 1	field	Peru	CV1-199
2018 November	DSC_0321-KATP3.JPG	Crenicichla	lucius	field	Peru	CV2-487
